id,uniform1,zeroes1,nulls1,new-normal1,uniform2,normal2,normal3,uniform3,catStr1,catStrSteady2,descStr1
0.0,56,4,89,,21.198591574424185,-8446,-9091,0.4805707935745892,controvert militate extraction's grouses sprinkle's,misjudgement's,fraud
100,61,70,99,,23.50548675810733,1600,3063,0.9787899732314667,bedspread's inner analogous Parmesans valentine,astronautics's,holsters
200,95,87,21,,17.40384038738778,4697,-2077,0.06478244707423142,Gillian ringside umpire blackball's firebombed,quicksilver,skillet
300,45,27,19,,37.02375410606748,17,-10407,0.28609920298898195,reunified peppercorn telescope arbitrators supervisor,statehood's,dovetails
400,32,87,94,,28.647410703454796,7143,-9417,0.8292993502138566,one popgun diminishes depression decommission,cents,commingle
500,78,32,46,,16.676458131492623,-3526,-5253,0.8370379712735275,scowled incrusting impersonation blander kaleidoscope's,lamppost,womanhood's
600,28,44,47,,34.11313043312701,-6030,4440,0.5365029006223814,languorous enchilada's purview's monopolist unashamed,elopes,holsters
700,21,79,23,,11.948132894958112,-10027,4800,0.6432899007629772,algebraically legislation's stratified subbasement's achoo's,elopes,above's
800,41,76,54,,14.756074648950923,-5483,5341,0.5654445023037302,senselessly abutments photography impinge countenancing,salaam's,millionth
900,37,8,0,,17.82792336268507,-8993,-8942,0.39123839256444726,beneficence inhumanity doormat expulsion's Horace,statehood's,commingle
1000,30,46,83,,20.880962197320386,-8512,-8788,0.05486693097557327,hereupon regenerative Katmandu's imprint's sympathies's,humiliation's,dovetails
1100,32,98,68,,26.59094975615981,1295,-2302,0.5894111854805022,Male's filigreeing tediousness's hp toilet,salaam's,dovetails
1200,20,21,7,,11.384536239976226,-3592,-2626,0.8520125915252587,crunchy normalizing loaf altitudes escapism's,statehood's,February
1300,43,27,25,,10.454251702603191,6378,-1848,0.9239253933955143,intemperate rid confluent fishtails conceivable,perforated,holsters
1400,4,63,54,,5.103316836314669,8971,16013,0.09064367970782639,sneering alum's reservists lade roughness,cents,fraud
1500,6,71,48,,31.288706113519655,-13768,-21770,0.6449506135291125,autonomously hamstrung aggressive littleness's jessamines,quicksilver,skillet
1600,74,34,78,,28.930315799393284,2844,-3586,0.511127596196356,embryonic refinancing westbound waiver Ali,elopes,insensitivity's
1700,25,97,69,,29.477777903023053,5629,-5114,0.7575623645596431,indecencies unction dramatize afghans marginalia's,humiliation's,dovetails
1800,57,20,48,,34.31764155868872,-6355,17267,0.9229412308844461,landlady's uninstaller's nosedive's hep sooner,misjudgement's,February
1900,65,11,64,,24.458181446254276,-6746,-17063,0.28681525551899756,sweetheart's titter's kapok cassock's butterier,lamppost,millionth
2000,88,72,67,,5.490261889926824,-12423,8324,0.4800361953744786,pollutant's cognac Flintstones's Tavares chaos,cents,fraud
2100,20,39,40,,21.761428598150626,-1290,2199,0.003795542997213519,peg's hyphenation's comeback gullets Gamble's,salaam's,insensitivity's
2200,62,93,79,,29.791201213891902,-10195,1777,0.11515851570397395,thunderstorm's Ticonderoga stave pus imbued,elopes,womanhood's
2300,49,51,73,,11.293804803418851,-14705,-4143,0.3112731858536938,Appomattox's Saarinen conservationist's trustful infrared's,statehood's,insensitivity's
2400,30,22,94,,20.465792922397025,878,-3217,0.8989501841008015,Sylvia pentagon's rook's cheesecakes ABMs,statehood's,holsters
2500,18,21,38,,11.487988289886744,9323,3951,0.5719730044009733,insolence mongolism's flashed grubbed Buddhism's,statehood's,commingle
2600,41,20,91,,14.273466168468921,4328,-5607,0.43297123100121226,ambience buttress's purgatories Jaxartes torturers,lamppost,February
2700,57,46,86,,20.195342644613458,-7626,12587,0.025934101201461,peacetime's smidges hypocrite savaging chancery,misjudgement's,February
2800,1,73,53,,24.446541095611018,-423,18227,0.1292428099143046,remembering inspections Johns forgathers vivisection's,humiliation's,February
2900,69,41,95,,36.10724179296696,5395,5927,0.44982581274773425,challengers Streisand bray's pigment's baneful,lamppost,dovetails
3000,74,51,34,,34.55449805098723,-16552,-17337,0.514335570628195,behavior severances constrictors fluorescence Judaic,statehood's,holsters
3100,5,11,19,,39.33794929609326,-18431,-2901,0.3810729643411367,Carpathian extirpated combines nepotism's perhaps,statehood's,insensitivity's
3200,36,96,74,,20.64751006835976,-5282,-11004,0.6961023125196771,plantain's typewriter's mode's unfrock Urals's,cents,dovetails
3300,63,24,68,,25.845884521098323,7790,-4680,0.5611401816370669,Zollverein's oppressor negotiates gall's Keith's,elopes,skillet
3400,51,79,92,,26.387738267438845,-6069,-3385,0.44589050321143253,Saturday imperialism's Mamie manumitting incorrigibility,salaam's,insensitivity's
3500,27,65,91,,1.0410653428889027,-21187,22,0.9435509407698123,triter anonymous Nicklaus adjustors junkyard,misjudgement's,millionth
3600,47,60,59,,1.511207146499629,-835,24573,0.0012400333969383448,jib misbehave adjured consecrations aqueduct's,perforated,skillet
3700,37,67,89,,10.207761203520178,3132,-6718,0.6386115657868923,Beria masterworks leprosy's bewilders salivates,lamppost,millionth
